sentence,trust,control mutuality,commitment,satisfaction
without people we wont have a company that does all of this for us. this company allows use to communicate but we are the ones that are buying their product and use their services. then we pay and give them instie on to what we want as a comusters ,0,0,0,0
they at times give us information that we need to know and not too much more they will give us an explation in simple terms at time but that is pretty much it ,-1,0,0,-1
I think that they are very skilled at the tech industry in which they thrive in.  I think that they do a great job of staying up to speed with all the new changes and challenges.,1,0,0,0
Customer service agents every single one of them that I have spoken to and that is very graduation they have been understanding and when I am done speaking they let me know that they understood what I,1,1,1,1
 Amazon sends terms and conditions updates for any shipping updates with accounts anything at all I can do shipped mediately tell me well-informed well-informed,1,1,1,1
They do collab with other devs quite often overall which is nice for a system owner                                                                                                                     ,0,0,0,1
I feel a sense of loyalty to Amazon because I use Amazon Prime and related web services almost every day. I use Amazon Prime much more than Netflix and other competing web services.,1,0,0,1
The Salvation Army collaborated with other organizations. They work with others to help solve the crisis that I was facing at the time I requested assistance.,1,0,0,1
The Salvation Army takes concerns seriously. I had a concern about something with my situation and they were able to talk me through it and send me in the right direction that was beneficial to my nee,1,1,1,1
I believe that they take in every aspect of someone like myself and the problems that I had so that others could learn from the situation and would be able to assist others.,1,1,1,1
I joined the survey on their new update applications for Apple devices and I shared my ideas that I would love to see. They listened and showed me the updated version.,1,1,1,1
I am just a normal person and they treat me respectfully. I feel I am important to Apple whenever I interact with them. They have my gratitude for what they have done and do for me because they do not discriminate anybody.,1,1,1,1
Apple make a genuine effort to provide personal responses to what people like me concern by put put various ways for us to be able to contact Apple and get back to us as soon as possible.,0,1,1,1
"Managers of Apple encourage people like me to express differences of opinion that I have. I think at the seminar to learn how to use Apple products, people sharing their thoughts and ideas.",1,1,1,1
"Nike is dope. It is used by people and athletes all over the world. I know the company is involved in the design, manufacturing, and marketing of sports footwear/apparel and equipment across sports. ",1,0,0,1
"I honestly haven't sought out much information about the governance of sprint. I'm sure they are willing to be transparent, I'm just not all that interested ",0,0,0,0
"Whenever I get off the phone, there is always the option of participating in a follow up questionaire that allows me to voice my opinion of how the conversation I had with one of their representatives",1,1,1,1
"Their employees are polite and friendly and the food is consistent. The French fries are alway freshly cut and crispy; the hamburgers are great. Overall, the product they deliver good value.",1,0,0,1
"I feel loyal to In 'n Out Burger because they are loyal to me in that they focus on putting out a consistently good, high quality product in a pristine, clean environment that fosters trust. ",1,0,1,1
"In 'n Out Burger provides the benefits of nourishment, yet fun and tasty food at the same time -- and, at an affordable price. That's important in these times of rising food prices and uncertainty. ",1,0,0,1
I have no knowledge of any regulatory issues that have affected or currently affecting In 'n Out Burger. I'm not sure how regulation affecting the company would affect me. ,0,0,0,0
"Very good and Quality of product selling, so very caring with customer support also. Its very Attractive offer and valid cost of price . Really good service , fast , easy to move , forward , like much",1,1,1,1
"Very good feeling with amazon, so like to contact any where so very excitement. good quality of product with long lost setting derive with people. money value is cost to worth.so happy to say from @ .",1,0,1,1
"Ben & Jerry's donates a lot of money to social causes that I care about, so I feel they're interested in maintaining a long-term relationship with me.",1,1,1,1
Ben & Jerry's really acts on feedback submitted through their website and they are thoughtful about bubbling up ideas to their leadership team so that input gets addressed at senior levels.,1,1,1,1
"The benefits available with Prime are wonderful.  From the movies and music to the free shipping, it is all things that everyone can use.  All it takes is looking at what is available.",0,0,0,1
"I order a lot of stuff from Amazon.  They always deliver on time.  When I need to return things, sometimes they even let me keep it and just give me a refund. ",1,1,1,1
Amazon is so big that I doubt any one person has much influence.  They basically aggregate data to find what is best and what is working.  They dont exploit customers but try to create win win situati,0,0,0,0
it just seems like it is always there ready to deliver for you.  the shopping option is highly convenient and was invaluable during covid and during the holiday shopping season,1,0,0,1
"They are a big company that has built its success on delivering to you with speed, convenience, and cost.  However, I do worry about their impact on smaller businesses. ",0,0,0,0
"Tesla builds its most affordable cars, Tesla continues to make products accessible and affordable to more and more people, ultimately accelerating the advent of clean transport and clean energy",1,0,0,1
I am pleased I am able to set my phone to preferences that control the ads and content I see every day. I appreciate the value of standards set by this great company,1,1,1,1
I would not give my custom to another store at this point it would be like leaving a friend or leaving a partner and I just wouldn't do that and I know that they wouldn't do that to me either no matte,1,1,0,1
"Its website is very good at explaining corporate governance and also gives me the information that normally you would have t, so I think twise does a great job and I salute them and will continue",1,1,1,1
I am able to set my phone with a personal password and pin to keep my privacy safe. I am also able to set my app store and ad preferences to what I feel comfortable with and nothing I don't.,1,0,0,1
"If Amazon has ever sent me any information on company business and policy, I've likely ignored it. As long as I can make purchases and use services as usual, I wouldn't bother reading their legal info",0,0,0,0
"No one at Rockler has ever been anything less than attentive and respectful. They listen well, and react to any issues that I have without judgement. They aren't pushovers, but they take care of you.",1,1,1,1
Microsoft is a world leader in software development and cloud computing. Other companies seek to emulate Microsoft but have fallen short because Microsoft hires the best people in the field.,1,0,0,1
The cars that they make have shown over the years how dependable the cars are. My adult son has owned his Subaru for 8 years and loved it so much he bought another subaru.  People are loyal to the car,1,0,0,1
They collaborate well and frequently with consumers like me.  This builds and sustains the trust that we both share and as such collaboration is successful with consumer .  This is rare with companies,1,1,1,1
"When I take a survey or make a comment, I feel that I am listened to, and it is very common for a representative to reach out or respond to my feedback. ",1,1,1,1
The only time I would say there is the ability to meet staff is if I were to go into a TMobile store. I don't really think it matters if I can meet staff or not. That is not important to me.,0,0,0,0
My communications let them know that I care about my product being in good working order.  They contact me with questions about what they can do to make things much better for me.,1,1,1,1
"I believe that Target does contribute to local communities, I know that in my town their is a target house that helps families that need a place to stay while their kids are in the hospital.",0,1,1,1
When Amazon Prime has gone up they have always communicated this way before to give people the choice of continuing or not.  I think there have been other changes communicated but I can't think of it,0,0,0,0
"People like me, who belong to the Apple ecosystem, have a stake in Apple the company and our feedback is definitely influential because Apple has its reputation to maintain.",1,1,1,1
